,Name,Brand,Price,Old Price,Discount,Stock,Rating,Reviews,First Comment,Second Comment,Price_Diff,Seller_Evaluation,Seller_Abonne_Number,Shipping_Speed,Quality_Score,Consumer_Review,Cluster
0,"Boutique OfficielleLogitech M90 Souris Filaire USB, Suivi Optique 1000 PPP, Ambidextre, Compatible avec PC/Mac/Portable - Gris", Logitech ,39.0,69.0,43,High Stock,3.5 ,6,0.0,0.0,30.0,100,0,neutre,neutre,neutre,1
1,Boutique OfficielleSony Casque CH520 Bluetooth Noir (WH-CH520 /BZ), Sony ,599.0,799.0,25,No Info,4.6 ,8,0.0,0.0,200.0,94,67,ExcellentScore ,Bon,Excellent,1
2,Boutique OfficielleLenovo PC PORTABLE ThinkPad L570 -Core i5-6TH GEN-SSD 256Go -8Go-AZERTY-REMIS A NEUF, Lenovo ,2999.0,4499.0,33,No Info,2.3 ,6,0.0,0.0,1500.0,46,249,BonScore ,Très Mauvais,Moyen,2
3,"Boutique OfficielleLogitech Zone Vibe 100 Casque d'écoute léger sans fil avec Micro anti-bruit de fond, Écouteurs Bluetooth multipoint avancés, Fonctionne avec Teams, Google Meet, Zoom, Mac/PC- Graphite", Logitech ,1199.0,1999.0,40,Low Stock,0 ,0,0.0,0.0,800.0,100,0,neutre,neutre,neutre,1
4,"Boutique OfficiellePack gaming all in one 4 en 1 clavier gamer, souris 7 buttons + casque et tapis",Autre,210.0,409.5,49,High Stock,3.8 ,64,0.0,0.0,199.5,74,2161,ExcellentScore ,Moyen,Moyen,0
5,"DELL Optiplex 3020 MT Intel Celeron @ 2.7GHz - RAM 4Go , HDD 500Go (Remis à Neuf)", DELL ,530.0,1250.0,58,Low Stock,4.2 ,26,0.0,0.0,720.0,74,788,ExcellentScore ,Mauvais,Bon,1
6,"Console de jeu vidéo sans fil, écran HD 4K 64Gb HDMI avec 10000 jeux + 2 Manettes",Autre,255.0,510.0,50,High Stock,3.8 ,56,0.0,0.0,255.0,74,2161,ExcellentScore ,Moyen,Moyen,0
7,Epson EcoTank L3250 Imprimante WiFi multifonction à réservoirs rechargeables, Epson ,1875.0,2500.0,25,No Info,3.8 ,15,0.0,0.0,625.0,66,203,BonScore ,Moyen,Moyen,2
8,"Boutique OfficielleJedel Clavier Mécanique KL-95 à lumière mixte, avec effet de lumière RGB personnalisé", Jedel ,248.0,475.0,48,No Info,4.4 ,125,0.0,0.0,227.0,74,2161,ExcellentScore ,Moyen,Moyen,0
9,"Caméra de surveillance extérieure sans fil, avec panneau solaire et audio PIR, 4G et Wifi",Autre,1399.0,2090.0,33,High Stock,5 ,1,0.0,0.0,691.0,74,2161,ExcellentScore ,Moyen,Moyen,0
10,XIAOMI Mi Smart Camera C200 1080P Caméra Surveillance WiFi intérieure 360° qualité, XIAOMI ,343.0,529.0,35,High Stock,4.8 ,32,0.0,0.0,186.0,86,3586,ExcellentScore ,Bon,Bon,0
11,Dml Casque Gamer  casque PC avec  son surround casque antibruit avec micro et lumière LED, Dml ,145.0,159.0,9,No Info,4.1 ,110,0.0,0.0,14.0,86,541,ExcellentScore ,Bon,Bon,1
12,"TP-Link Point d'Acces 1200Mbps Dual Band Wi-Fi - Access Point , Répéteur WiFi 2 in 1 Archer C54", TP-Link ,499.0,750.0,33,Low Stock,4.3 ,3,0.0,0.0,251.0,60,576,BonScore ,Très Mauvais,Excellent,1
13,"Boutique OfficielleLogitech G733 Casque gaming sans fil LIGHTSPEED avec bandeau de suspension, LIGHTSYNC RVB, technologie de micro Blue VO!CE et transducteurs audio PRO-G - Blanc", Logitech ,1499.0,2099.0,29,Low Stock,0 ,0,0.0,0.0,600.0,100,0,neutre,neutre,neutre,1
14,mifoy Pack Combo Clavier de Jeu + Souris GM100 6 Boutons RGB Capteur Optique DPI LED, mifoy ,139.0,299.0,54,High Stock,4 ,40,0.17500000000000002,0.0,160.0,74,2161,ExcellentScore ,Moyen,Moyen,0
15,"Boutique OfficielleLenovo Sac à dos ThinkPad Sac de voyage manche en velours, grande capacité", Lenovo ,169.0,250.0,32,High Stock,4.4 ,134,0.0,0.0,81.0,86,541,ExcellentScore ,Bon,Bon,1
16,"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",Autre,75.0,195.0,62,High Stock,4.2 ,111,0.0,0.0,120.0,74,2161,ExcellentScore ,Moyen,Moyen,0
17,"Boutique OfficiellePack gaming all in one 4 en 1 clavier gamer, souris 7 buttons + casque et tapis",Autre,210.0,409.5,49,High Stock,3.8 ,64,0.0,0.0,199.5,74,2161,ExcellentScore ,Moyen,Moyen,0
18,G2000 Casque Gaming,Autre,149.0,649.0,77,No Info,4.1 ,35,0.0,0.0,500.0,74,788,ExcellentScore ,Mauvais,Bon,1
19,XIAOMI Monitor A22i 2145in 24W Max 75Hz Aspect ratio 169, XIAOMI ,853.0,1099.0,22,No Info,4.7 ,26,0.0,0.0,246.0,86,3586,ExcellentScore ,Bon,Bon,0
20,mifoy M10 Souris Filaire Optique USB Effet Lumineuse RGB E-sport pour Ordinateur, mifoy ,25.0,70.0,64,High Stock,3.8 ,320,0.0,0.0,45.0,74,2161,ExcellentScore ,Moyen,Moyen,0
21,"Tapis de Souris Pour PC Bureau, PC Portable",Autre,23.0,35.0,34,High Stock,4.1 ,33,0.0,0.0,12.0,86,541,ExcellentScore ,Bon,Bon,1
22,Western Digital Disque dur Externe 500GB - WD Elements™ - USB 3.0, Western Digital ,219.0,750.0,71,No Info,4.3 ,68,0.0,0.0,531.0,94,189,BonScore ,Excellent,Excellent,1
23,Razer Tapis de souris lines 900 x 300 MM Tapis gamer souris et clavier Gaming Mouse Pad, Razer ,49.0,49.0,0,High Stock,4.3 ,4,0.0,0.0,0.0,94,354,ExcellentScore ,Excellent,Bon,1
24,Boutique OfficielleSH 3200 DPI réglables et 7D LED Optique Souris de jeu filaire USB pour Gamer PC, SH ,65.0,150.0,57,High Stock,4.4 ,78,0.0,0.4666666666666666,85.0,74,2161,ExcellentScore ,Moyen,Moyen,0
25,Adaptateur hdmi vga - hdmi vert vga - hdmi to vga, Adaptateur ,39.5,65.0,39,High Stock,4.1 ,321,0.0,0.0,25.5,86,541,ExcellentScore ,Bon,Bon,1
26,"Boutique OfficielleLogitech H111 Casque Filaire, Ecouteurs Stéréo avec Micro Anti-Parasite, Jack Audio 3,5mm, PC/Mac/Portable/Smartphone/Tablette - Noir", Logitech ,99.0,169.0,41,High Stock,4.4 ,22,0.0,0.35694444444444445,70.0,100,0,neutre,neutre,neutre,1
27,"Boutique OfficielleLogitech M171 Souris Sans Fil pour PC, Mac, Ordinateur portable, 2,4 GHz avec Mini-récepteur USB, Suivi Optique, Autonomie de Piles de 12 mois, Ambidextre- Noir", Logitech ,99.0,169.0,41,High Stock,4.8 ,6,0.375,0.0,70.0,100,0,neutre,neutre,neutre,1
28,Boutique Officiellemifoy Souris Gaming USB GM100 6 Boutons RGB Capteur Optique 1200 à 3200 DPI LED - Noir, mifoy ,59.0,190.0,69,High Stock,4.3 ,109,0.0,0.0,131.0,74,2161,ExcellentScore ,Moyen,Moyen,0
29,"Boutique OfficielleLogitech M90 Souris Filaire USB, Suivi Optique 1000 PPP, Ambidextre, Compatible avec PC/Mac/Portable - Gris", Logitech ,39.0,69.0,43,High Stock,3.5 ,6,0.0,0.0,30.0,100,0,neutre,neutre,neutre,1
30,Boutique OfficielleHp PC PORTABLE HP ELITEBOOK 840 G5 8ÉME GÉN-CORE I5-8Go-256 Go SSD-Remise à neuf, Hp ,2990.0,6599.0,55,No Info,4.2 ,12,0.0,0.0,3609.0,46,249,BonScore ,Très Mauvais,Moyen,2
31,"DELL Optiplex 3020 MT Intel Celeron @ 2.7GHz - RAM 4Go , HDD 500Go (Remis à Neuf)", DELL ,530.0,1250.0,58,Low Stock,4.2 ,26,0.0,0.0,720.0,74,788,ExcellentScore ,Mauvais,Bon,1
32,DELL Pc OptiPlex i5 4éme Gén 8Go Ram 500Go HDD +  Souris et Clavier - Remis à Neuf, DELL ,849.0,1300.0,35,No Info,3.8 ,25,0.0,0.0,451.0,80,66,BonScore ,Excellent,Moyen,1
